_id,GID,COD_CIRCUITO,TURNO_HORARIO,X,Y
5086,47012,G_DU_RM_CL_13       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                 ",570592.2962728653,6147676.026597766
5087,56778,CH_DU_RM_CL_13      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",576765.4956822582,6139277.439126941
5088,46648,C_DU_RM_CL_10       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ",575067.8960475019,6140276.46693642
5089,46800,G_DU_RM_CL_12       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",570969.9161467646,6146076.144382384
5090,47019,G_DU_RM_CL_13       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                 ",570572.6030944204,6147223.068051678
5091,47023,G_DU_RM_CL_13       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                 ",570972.7534904999,6146936.051485953
5092,47024,G_DU_RM_CL_13       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                 ",571033.5023955153,6146890.70991192
5093,47029,G_DU_RM_CL_13       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                 ",571137.8320367374,6146984.474526183
5094,47033,G_DU_RM_CL_13       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                 ",570877.4795485066,6147124.733866293
5095,47071,G_DU_RM_CL_13       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Vespertino (14 a 22 hrs.)                                                                                                                                                                                                                                 ",571100.586631308,6147305.128895904
5096,47349,G_DU_RM_CL_14       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",571002.2992897909,6150415.432322078
